Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_mico,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,MICo/Online_dist,MICo/Target_dist,MICo/Norm_term,MICo/Angle_term,MICo/Rep_sq_norm,MICo/Grad_ratio,Norm/actor_model,Norm/critic_model,Norm/state_encoder_model,Norm/actor_head_model,Eval/Return
136192,0.2128772884607315,-10.116910934448242,-0.010691281408071518,0.10046464949846268,0.004509825259447098,5.314202308654785,10.060775756835938,10.069780349731445,17.117338180541992,16.987302780151367,17.012563705444336,0.10477326810359955,17.012563705444336,0.0016144885448738933,38.947117,44.991455,18.718136,19.480402,169.34768676757812
264192,0.37757670879364014,-32.974365234375,0.009293798357248306,0.0876501277089119,0.030937982723116875,2.9350762367248535,32.266273498535156,32.26443099975586,19.536027908325195,19.51655387878418,19.405887603759766,0.13014036417007446,19.405887603759766,0.0004964179242961109,53.320343,58.481045,23.233952,25.46295,307.8404541015625
392192,0.33752602338790894,-52.677799224853516,0.009745428338646889,0.09797690808773041,0.024350712075829506,2.631892442703247,52.12335968017578,52.154624938964844,22.546918869018555,22.57970428466797,22.415529251098633,0.1313900500535965,22.41552734375,0.0009118664893321693,64.04954,65.70073,25.547733,29.724598,910.3328247070312
520192,0.12238939851522446,-67.03643798828125,0.003229925176128745,0.09251736104488373,0.01592305116355419,3.0196468830108643,66.72088623046875,66.72958374023438,25.851863861083984,25.95724868774414,25.734344482421875,0.1175183579325676,25.734344482421875,0.002868280280381441,72.4333,71.77333,27.685282,33.326313,974.0812377929688
648192,0.2235732078552246,-77.08464050292969,0.0029183346778154373,0.11412642896175385,0.012424957007169724,2.9198825359344482,76.78813171386719,76.77317810058594,28.196535110473633,28.30036163330078,28.091938018798828,0.10459679365158081,28.091938018798828,0.0017969113541767001,79.6924,77.62053,29.941778,36.61299,982.8115234375
776192,0.14195916056632996,-84.70913696289062,0.004189817700535059,0.11302443593740463,0.009195297956466675,2.5145435333251953,84.51823425292969,84.45782470703125,29.700828552246094,29.78893280029297,29.609909057617188,0.09092111140489578,29.609907150268555,0.0017944275168702006,86.19063,82.98532,32.061344,39.35348,979.4949951171875
904192,0.044067028909921646,-89.277587890625,0.0034510393161326647,0.1065097451210022,0.006765550468116999,2.2890005111694336,89.08116149902344,89.10551452636719,30.056865692138672,30.10665512084961,29.97797966003418,0.07888570427894592,29.97797966003418,0.005960454698652029,91.784546,87.332245,34.03413,41.949017,970.521240234375
1032192,0.05108651891350746,-91.36553955078125,-0.002587786875665188,0.09279467165470123,0.005687727127224207,3.414562463760376,91.14698791503906,91.18179321289062,29.8013973236084,29.86191177368164,29.72127914428711,0.08011618256568909,29.721281051635742,0.004124596249312162,96.962296,91.624245,35.98095,44.359043,981.1202392578125
1160192,0.042288847267627716,-93.56930541992188,0.002023547887802124,0.09781238436698914,0.003929038532078266,2.448469638824463,93.43330383300781,93.4219970703125,29.09906768798828,29.145000457763672,29.02782440185547,0.0712425485253334,29.02782440185547,0.0056570409797132015,101.59557,95.66602,37.85838,46.528122,981.9995727539062
1288192,0.054637305438518524,-94.42384338378906,-0.0013481253990903497,0.10655896365642548,0.0036309813149273396,3.534015655517578,94.28047180175781,94.22981262207031,28.438854217529297,28.490863800048828,28.366134643554688,0.07272142171859741,28.366132736206055,0.005095146130770445,105.68848,99.83808,39.69274,48.556503,983.3323364257812
