Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,Loss/Loss_actor_transfer,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Norm/rep_model,Eval/Return,Eval/Return_e2
11000,0.0023877499625086784,-2.1589198112487793,0.7584027051925659,0.0009297198848798871,0.0016642061527818441,0.0652213990688324,5.055883884429932,4.2784817196661606e-05,0.075340136885643,-4.066383361816406,1.8510377407073975,1.854164719581604,36.306877,39.475414,27.30654,27.625103,27.477077,51.098873,1.6912327,0.7537912
12000,0.0018338585505262017,-3.289682626724243,0.5889104604721069,0.0005655813729390502,0.003555872943252325,0.04203552007675171,5.025018215179443,0.00010265708260703832,0.05832483619451523,-4.097078323364258,3.032089948654175,3.0326318740844727,36.26322,39.54217,27.13273,27.606983,27.394897,51.16642,3.4106545,0.7680425
13000,0.0038821357302367687,-4.026368141174316,0.4607168436050415,0.004980951547622681,0.005751385353505611,0.03555246815085411,5.30940055847168,3.3710908610373735e-05,0.04583297669887543,-4.05208158493042,3.855537176132202,3.850705146789551,36.226788,39.529408,27.022867,27.572222,27.320627,51.34925,3.9818451,0.8886141
14000,0.0010120503138750792,-4.5953826904296875,0.3660227060317993,0.005016907583922148,0.007019834592938423,0.033638861030340195,5.050155162811279,0.0001554662303533405,0.03632092475891113,-4.077461242675781,4.450558185577393,4.451203346252441,36.243504,39.507786,26.948053,27.56739,27.281261,51.625496,3.1399372,0.9790098
15000,0.0016644411953166127,-4.966311454772949,0.29094254970550537,0.0005657522706314921,0.010776328854262829,0.039893753826618195,4.930276870727539,0.00023375809541903436,0.028912531211972237,-4.0628533363342285,4.8290910720825195,4.829184532165527,36.33285,39.462242,26.886831,27.593056,27.246187,51.763214,3.0880628,1.123457
16000,0.023805078119039536,-5.127336502075195,0.23200783133506775,0.0007309658685699105,0.01385568454861641,0.05214451253414154,4.970491409301758,0.0002514842781238258,0.02306937798857689,-4.0569610595703125,5.054370880126953,5.053801536560059,36.421436,39.459446,26.837265,27.618654,27.22717,51.96958,3.301377,0.41725397
17000,0.003365470329299569,-5.321588516235352,0.18396179378032684,0.0007278166012838483,0.013925967738032341,0.04618240147829056,4.71268892288208,0.0002785615506581962,0.018437786027789116,-3.977433919906616,5.21242618560791,5.212459087371826,36.433926,39.446568,26.80596,27.606445,27.196917,52.132145,4.113356,0.4439315
18000,0.003981581889092922,-5.359269142150879,0.14640983939170837,0.012169068679213524,0.014824096113443375,0.020670024678111076,4.746445178985596,0.0003439105348661542,0.014753144234418869,-3.9239749908447266,5.284775257110596,5.286323547363281,36.46772,39.369305,26.810755,27.608776,27.16505,52.307255,4.063605,0.36368236
19000,0.0024637554306536913,-5.322877407073975,0.11721646785736084,0.000542428984772414,0.018718894571065903,0.04223160445690155,4.154871940612793,0.0006432116497308016,0.011810864321887493,-3.9244608879089355,5.258619785308838,5.258485794067383,36.89595,39.275215,26.811224,27.609983,27.125954,52.52307,5.478324,0.57148314
20000,0.0019409343367442489,-5.261564254760742,0.09160666167736053,0.000531453057192266,0.03159162029623985,0.03459811955690384,3.7818334102630615,0.0009502876200713217,0.009463764727115631,-3.679727554321289,5.227502346038818,5.2273783683776855,37.455612,39.239952,26.827982,27.657658,27.103523,52.75062,4.99294,0.55971336
21000,0.002568337135016918,-5.164117813110352,0.07394717633724213,0.0008097015088424087,0.050610288977622986,0.04882197827100754,3.4297726154327393,0.0015561918262392282,0.0075906869024038315,-3.7418289184570312,5.131958961486816,5.13205623626709,37.66522,39.171425,26.821259,27.741573,27.108843,53.006016,5.4288607,0.7763757
22000,0.003051447682082653,-5.040052890777588,0.056639790534973145,0.0007907600374892354,0.05955762788653374,0.051303211599588394,3.48579740524292,0.0016250095795840025,0.006092396564781666,-3.296799421310425,5.004912376403809,5.00607442855835,38.037205,39.159225,26.842152,27.818878,27.125607,53.19887,5.5601525,1.3232352
23000,0.18488037586212158,-4.908935546875,0.04424162581562996,0.013561196625232697,0.07663451135158539,0.032812245190143585,2.5890910625457764,0.003371770493686199,0.004911457654088736,-3.007840156555176,4.8786468505859375,4.878500938415527,38.656082,39.15477,26.88872,27.863897,27.16304,53.485897,6.8905373,2.3593273
24000,0.17677202820777893,-4.79082727432251,0.03459468483924866,0.014780230820178986,0.049537912011146545,0.03467795252799988,2.685636281967163,0.003894491819664836,0.003961040172725916,-2.733736991882324,4.7817230224609375,4.782310962677002,39.638584,39.18787,26.930971,27.875803,27.201525,53.697754,8.951683,3.7050018
25000,0.003404834307730198,-4.669686794281006,0.025362417101860046,0.001787861343473196,0.08671201765537262,0.08318404108285904,2.676887035369873,0.0035021465737372637,0.0031983216758817434,-1.9299142360687256,4.655219078063965,4.655173301696777,40.04904,39.17605,26.97205,27.878222,27.230923,53.899017,11.324437,4.4944015
26000,0.1561458855867386,-4.493906021118164,0.02010270394384861,0.01688702590763569,0.09436304122209549,0.03704686090350151,2.6499080657958984,0.005265064537525177,0.0025935019366443157,-1.7511818408966064,4.498344421386719,4.497047424316406,40.450775,39.159634,26.99864,27.86582,27.250784,54.162617,12.478789,5.074077
27000,0.007278398610651493,-4.345282554626465,0.015425422228872776,0.0032395024318248034,0.0997101217508316,0.09728048741817474,2.4163243770599365,0.010438255034387112,0.002129191532731056,-1.2447320222854614,4.314676284790039,4.313843727111816,40.995785,39.11761,27.028673,27.873407,27.263298,54.36638,15.285324,6.059309
28000,0.0042469617910683155,-4.257173538208008,0.010239606723189354,0.002340765204280615,0.10562130808830261,0.09902595728635788,2.125920534133911,0.010853877291083336,0.0017655853880569339,0.20044679939746857,4.233270645141602,4.233487129211426,41.23993,39.137455,27.071146,27.874067,27.278797,54.63982,22.98979,5.677628
29000,0.005554124712944031,-4.151784896850586,0.007593770045787096,0.0031587048433721066,0.1038748174905777,0.09864839911460876,2.1987955570220947,0.01615842804312706,0.0014828296843916178,0.8788658380508423,4.127943992614746,4.130612373352051,41.446156,39.127377,27.118498,27.87799,27.296228,54.878384,28.044947,5.283677
