Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,Loss/Loss_actor_transfer,Loss/State_matching_loss,Loss/Action_matching_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Norm/rep_model,Eval/Return,Eval/Return_e2
11000,0.0028895132709294558,-2.117964267730713,0.7598744034767151,0.0011182193411514163,0.03817314654588699,0.08081300556659698,0.037907689809799194,0.17550276219844818,1.0368149280548096,1.0478241443634033,0.07534631341695786,-4.0850911140441895,1.8023271560668945,1.8017387390136719,42.83528,39.748352,27.42809,27.678463,27.53877,48.597298,1.5137882,1.9491541
12000,0.0022483039647340775,-3.2229044437408447,0.5889771580696106,0.0011600012658163905,0.07377373427152634,0.07562132179737091,0.05031939223408699,0.14256128668785095,1.056648850440979,1.0702093839645386,0.05833868682384491,-4.095824718475342,2.979067802429199,2.9781618118286133,43.046604,39.928833,27.305079,27.746178,27.484007,48.622437,3.5053284,4.980626
13000,0.004067573696374893,-3.9679665565490723,0.4622632563114166,0.00117601512465626,0.13246992230415344,0.07595495134592056,0.043313294649124146,0.1235639676451683,1.0770527124404907,1.095375895500183,0.045847583562135696,-4.082609176635742,3.7893638610839844,3.781740427017212,43.268497,40.031853,27.228474,27.824436,27.459932,48.69664,3.3723207,13.047
14000,0.0024891477078199387,-4.525193214416504,0.3644056022167206,0.0014831562293693423,0.18830877542495728,0.09440863132476807,0.036155518144369125,0.13484641909599304,1.1033046245574951,1.1176276206970215,0.036333873867988586,-4.029362678527832,4.4147233963012695,4.400875091552734,43.48558,40.083942,27.199211,27.933062,27.45043,48.82986,2.5143445,16.909796
15000,0.008089259266853333,-4.902054309844971,0.2914744019508362,0.00171377114020288,0.2827187776565552,0.09851065278053284,0.030606528744101524,0.11084012687206268,1.1187390089035034,1.1336544752120972,0.028924349695444107,-4.077129364013672,4.789325714111328,4.7902069091796875,43.765327,40.122246,27.18178,28.072758,27.489681,48.982235,3.5737457,21.950369
16000,0.00894110556691885,-5.120893955230713,0.23188266158103943,0.006663854233920574,0.37368160486221313,0.08348444104194641,0.03499586135149002,0.08867090940475464,1.1403446197509766,1.1594136953353882,0.0230866651982069,-4.044008731842041,5.004525184631348,5.005701065063477,44.10318,40.175182,27.195072,28.211735,27.621525,49.20523,4.2304482,27.160273
17000,0.005093876272439957,-5.247452735900879,0.1829204261302948,0.0029913699254393578,0.40386003255844116,0.10929253697395325,0.03446431830525398,0.0975857824087143,1.1613909006118774,1.1792469024658203,0.018453050404787064,-3.912747383117676,5.162208557128906,5.170294761657715,44.530598,40.28622,27.225636,28.333847,27.789062,49.41879,4.403054,26.18461
18000,0.003654350060969591,-5.319676399230957,0.1463971585035324,0.00275352131575346,0.45045363903045654,0.12828737497329712,0.040376707911491394,0.0907280296087265,1.1748847961425781,1.1922478675842285,0.01476979162544012,-3.911931037902832,5.247040271759033,5.249826431274414,44.782726,40.38258,27.299408,28.442232,27.922068,49.625587,4.9524894,24.052088
19000,0.03982074558734894,-5.268590450286865,0.11658962070941925,0.003528159810230136,0.40306469798088074,0.1456727683544159,0.04196886718273163,0.08775674551725388,1.2064874172210693,1.2316749095916748,0.011827529408037663,-3.8574793338775635,5.197938919067383,5.197267055511475,45.109386,40.47485,27.375887,28.546612,28.045898,49.835842,4.9861846,23.278296
20000,0.0018543483456596732,-5.226729393005371,0.09224222600460052,0.004742791410535574,0.38876432180404663,0.1559877097606659,0.05411797761917114,0.07496558874845505,1.2329132556915283,1.2456644773483276,0.00947220716625452,-3.7381978034973145,5.185102939605713,5.189480781555176,45.51115,40.572502,27.461535,28.630707,28.162924,50.019592,3.919545,21.870472
21000,0.0015523883048444986,-5.137550354003906,0.07352336496114731,0.005475242622196674,0.24398097395896912,0.14732079207897186,0.043930597603321075,0.07439245283603668,1.2649755477905273,1.2668728828430176,0.007585581857711077,-3.692513942718506,5.081664562225342,5.088897705078125,45.87571,40.595306,27.526768,28.689459,28.279753,50.194675,4.3437576,20.54754
22000,0.002142761368304491,-4.965716361999512,0.05873892828822136,0.004410296678543091,0.22957569360733032,0.15214331448078156,0.03610207885503769,0.07801876217126846,1.2946162223815918,1.3107961416244507,0.006086166016757488,-3.6512200832366943,4.961131572723389,4.953564643859863,46.250027,40.606518,27.578161,28.726755,28.382717,50.3955,4.5618887,21.587435
