Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,Analysis/Val_diff,Analysis/SA_diff,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Norm/rep_model,Eval/Return
11000,0.0016740484861657023,-2.1755197048187256,0.7567906975746155,0.0001615138171473518,0.0035673317033797503,0.023552019149065018,0.018491542,0.025776566937565804,0.9998043775558472,0.0753411129117012,-4.044856548309326,1.8919754028320312,1.8886196613311768,27.696695,39.742073,27.504473,27.491491,27.34324,32.491364,1.2909992
12000,0.0009255987242795527,-3.280630588531494,0.5891684889793396,8.104888547677547e-05,0.003285928163677454,0.016974512487649918,0.012253388,0.052914947271347046,0.9980316162109375,0.05832279101014137,-4.1018571853637695,3.0414681434631348,3.0428836345672607,27.660484,39.876057,27.451672,27.483688,27.278923,32.51907,2.7844312
13000,0.0015937738353386521,-4.0496368408203125,0.46220123767852783,7.295860268641263e-05,0.004180956166237593,0.011261975392699242,0.013171412,0.07497288286685944,0.9844979643821716,0.045832496136426926,-4.0845746994018555,3.859628677368164,3.8613314628601074,27.641413,39.95844,27.384544,27.4859,27.247149,32.559544,3.2599256
14000,0.03367878496646881,-4.66179084777832,0.3660849630832672,0.001958573702722788,0.005157845094799995,0.00752852950245142,0.018171016,0.0778290182352066,0.9863423109054565,0.03632315620779991,-4.078555583953857,4.531627178192139,4.541080951690674,27.633547,40.049625,27.32618,27.488,27.170982,32.64582,4.1522965
15000,0.0025299922563135624,-5.0604658126831055,0.28982898592948914,2.8772225050488487e-05,0.00775367533788085,0.014179323799908161,0.011847505,0.10402029752731323,0.9835425615310669,0.028930142521858215,-4.01823616027832,4.951129913330078,4.949437141418457,27.64174,40.10495,27.268112,27.549591,27.123001,32.795616,5.2170553
16000,0.037249766290187836,-5.277016639709473,0.22999022901058197,0.0018829177133738995,0.007236951496452093,0.007784411311149597,0.010842621,0.10190312564373016,0.9793863296508789,0.0230975653976202,-3.95733642578125,5.177384376525879,5.181265830993652,27.671524,40.139996,27.232622,27.673536,27.114592,32.976547,7.172732
17000,0.0024327272549271584,-5.4542412757873535,0.18396256864070892,0.00010635890794219449,0.00714542530477047,0.015130715444684029,0.012779619,0.13524937629699707,0.9788156747817993,0.018482234328985214,-3.9534807205200195,5.383044719696045,5.377791404724121,27.731667,40.17185,27.195728,27.824133,27.13518,33.190662,11.464836
18000,0.003583108074963093,-5.557313442230225,0.14592480659484863,0.0001639817637624219,0.010098893195390701,0.02131015807390213,0.008994892,0.17151547968387604,0.9885671138763428,0.01483176276087761,-3.8386693000793457,5.50443696975708,5.503603458404541,27.813934,40.20204,27.174524,27.872738,27.167221,33.418423,17.526276
19000,0.002707509323954582,-5.59055233001709,0.10541335493326187,0.00017573960940353572,0.012216604314744473,0.024775046855211258,0.008944571,0.21064026653766632,0.9904886484146118,0.011951722204685211,-2.8199303150177,5.531749248504639,5.531055450439453,27.926891,40.232533,27.155516,27.933748,27.211416,33.671406,22.697926
20000,0.007259332574903965,-5.603302955627441,0.07913564890623093,0.00021541400928981602,0.012046298943459988,0.030900564044713974,0.010128079,0.2358848750591278,1.0396090745925903,0.0097048319876194,-2.15425181388855,5.559174060821533,5.54695987701416,28.06257,40.277775,27.15501,27.962175,27.263918,33.970535,28.624317
21000,0.048302799463272095,-5.761114120483398,0.06150425598025322,0.002310961950570345,0.008988089859485626,0.007716945372521877,0.012315914,0.29743731021881104,1.0644004344940186,0.008115812204778194,-1.5783241987228394,5.699804306030273,5.702579975128174,28.114603,40.32628,27.16799,28.025356,27.300838,34.349503,26.327429
22000,0.053040966391563416,-6.271694660186768,0.01387973316013813,0.0024982995819300413,0.010229136794805527,0.007144348230212927,0.020263083,0.3589549958705902,1.1053590774536133,0.007004906889051199,4.0185699462890625,6.0123162269592285,6.011165142059326,28.16069,40.420036,27.201597,28.042742,27.32376,34.69445,25.724323
23000,0.01609732396900654,-7.196276664733887,8.00069174147211e-05,0.0003461696323938668,0.017296187579631805,0.044916436076164246,0.016415391,0.29601988196372986,1.17940354347229,0.006348341703414917,5.987397193908691,6.923212051391602,6.9175825119018555,28.168102,40.568043,27.26887,28.13126,27.387518,35.019863,17.023197
24000,0.008200687356293201,-7.409761428833008,0.034856416285037994,0.00019047263776883483,0.010475669987499714,0.027492448687553406,0.014664095,0.27258002758026123,1.161165714263916,0.005451718345284462,-0.39365655183792114,7.349515438079834,7.348882675170898,28.330757,40.723362,27.30706,28.110432,27.399776,35.293964,14.10287
25000,0.06429491937160492,-7.563418388366699,0.011942137964069843,0.0028060725890100002,0.019032098352909088,0.007686278782784939,0.015399059,0.4634974002838135,1.1992394924163818,0.0043589151464402676,3.260295867919922,7.473048210144043,7.467687606811523,28.298409,40.841415,27.304804,28.155462,27.417742,35.46109,14.8032255
26000,0.015317513607442379,-8.198657989501953,0.001678104279562831,0.00043456931598484516,0.018105734139680862,0.0392155721783638,0.019616598,0.7730530500411987,1.2189021110534668,0.004218983463943005,5.6022491455078125,7.95184326171875,7.950470924377441,28.494587,40.9655,27.350145,28.095858,27.418919,35.82094,14.261691
27000,0.015546167269349098,-8.824930191040039,-0.002475873101502657,0.00030174775747582316,0.012357490137219429,0.03398948535323143,0.018039871,0.820037841796875,1.2718597650527954,0.004330384079366922,6.571744441986084,8.58581829071045,8.581365585327148,28.591146,41.106575,27.400726,28.100853,27.478716,36.09105,15.848182
28000,0.007025591097772121,-9.496051788330078,0.0011973377550020814,0.00021949352230876684,0.012551577761769295,0.03412816673517227,0.015602313,0.38895657658576965,1.3285160064697266,0.0036654463037848473,5.673344612121582,9.274894714355469,9.273567199707031,28.757175,41.29912,27.4259,28.099602,27.492006,36.26176,14.499629
